a_key_0,a_value_0,a_key_1,a_value_1,a_key_2,a_value_2,a_key_3,a_value_3,a_key_4,a_value_4,a_key_5,a_value_5,a_key_6,a_value_6,a_key_7,a_value_7,a_key_8,a_value_8,a_key_9,a_value_9,a_key_10,a_value_10,a_key_11,a_value_11,a_key_12,a_value_12,a_key_13,a_value_13,a_key_14,a_value_14
Niklaserhof Alto Adige Lagrein DOC Oxs,"

11,90 €                                                
",1404324181121,"
5 - 10 Workdays

",Manufacturer,Niklaserhof,Red Wine,353913,GTIN,1404324181121,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Lagrein ",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Via delle Fontane, 31, 39052 Caldaro BZ",https://weindiele.com/media/image/product/9494/sm/niklaserhof-suedtiroler-lagrein-doc-oxs.jpg
Fliederhof Alto Adige St. Magdalener Classico DOC Gaia,"

33,00 €                                                
",1404324178589,Notify me when this item is available,Manufacturer,Fliederhof,Red Wine,353802,GTIN,1404324178589,Content‍,"
0,75 l",Vintage‍,"
2020",Regions‍,"
Alto Adige",Variety‍,"
Santa Maddalena",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Via Santa Maddalena di Sotto 33, 39100 Bozen, Trentino-Südtirol.",https://weindiele.com/media/image/product/9267/sm/de-rotwein-fliederhof-suedtiroler-st-magdalener-classico-doc-gaia.jpg
Donà Hartmann Mitterberg Vernatsch IGT Liquid Stone Dolomit,"

22,90 €                                                
",1404324179029,Notify me when this item is available,Manufacturer,Doná Hartmann,Red Wine,353826,GTIN,1404324179029,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Schiava",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Via Casa di Gesù 23, 39057 Cornaiano (BZ), Italia, Alto Adige",https://weindiele.com/media/image/product/9287/sm/dona-hartmann-mitterberg-vernatsch-igt-liquid-stone-dolomit.jpg
Peter Sölva Alto Adige Cabernet Sauvignon DOC Amistar Edizione A6,"

65,00 €                                                
",1404324179043,"
5 - 10 Workdays

",Manufacturer,Peter Sölva,Red Wine,353828,GTIN,1404324179043,Content‍,"
0,75 l",Variety‍,"
Cuvée Red",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"14,5 Vol. %",Manufacturer address‍,"Via dell Oro, 33, 39052 Caldaro BZ",https://weindiele.com/gfx/keinBild.gif
Castelfeder Alto Adige Merlot DOC Vigna Villa Karneid,"

15,50 €                                                
",1404324177223,"
5 - 10 Workdays

",Manufacturer,Castelfeder,Red Wine,353746,GTIN,1404324177223,Content‍,"
0,75 l",Regions‍,"
Alto Adige",Vintage‍,"
2019",Variety‍,"
Merlot",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,Via F.-Harpf-Straße 15 – 39040 Kurtinig a. d. Weinstraße/Cortina s.S.d.V.,https://weindiele.com/media/image/product/9230/sm/de-rotwein-castelfeder-suedtiroler-merlot-doc-vigna-villa-karneid.jpg
Neustift Alto Adige Blauburgunder Riserva DOC Insolitus X 6234,"

29,90 €                                                
",1404324177032,"
5 - 10 Workdays

",Manufacturer,Neustift Stiftskellerei ,Red Wine,353737,GTIN,1404324177032,Content‍,"
0,75 l",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Alcohol content‍,12 Vol. %,Manufacturer address‍,"Via Abbazia, 1, 39040 Novacella BZ",https://weindiele.com/media/image/product/9225/sm/de-rotwein-neustift-suedtiroler-blauburgunder-riserva-doc-insolitus-x-6234.jpg
Sallegg Vigneti delle Dolomiti Red IGT Cuvée Rénier,"

14,51 €                                                
",1404324169419,"
5 - 10 Workdays

",Manufacturer,Castel Sallegg,Red Wine,353500,GTIN,1404324169419,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Cuvée Red",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Unterwinkel, 15, 39052 Kaltern, Südtirol",https://weindiele.com/media/image/product/9216/sm/de-rotwein-sallegg-weinberg-dolomiten-rot-igt-cuvee-renier.jpg
Kränzelhof Mitterberg Blauburgunder IGT Libra,"

33,00 €                                                
",1404324175335,"
5 - 10 Workdays

",Manufacturer,Kränzelhof,Red Wine,353680,GTIN,1404324175335,Content‍,"
0,75 l",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Via delle Palade, 1, 39010 Cermes BZ",https://weindiele.com/media/image/product/9174/sm/de-rotwein-kraenzelhof-mitterberg-blauburgunder-igt-libra.jpg
Peter Sölva Vino Rosso Amistar Edizione T5,"

65,00 €                                                
",1404324172624,Notify me when this item is available,Manufacturer,Peter Sölva,Red Wine,353579,GTIN,1404324172624,Content‍,"
0,75 l",Variety‍,"
Cuvée Red",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"14,5 Vol. %",Manufacturer address‍,"Via dell Oro, 33, 39052 Caldaro BZ",https://weindiele.com/media/image/product/9114/sm/de-rotwein-peter-soelva-rotwein-amistar-edizione-t5.jpg
Ritterhof Alto Adige Merlot DOC Mollis,"

18,30 €                                                
",1404324177483,"
5 - 10 Workdays

",Manufacturer,Ritterhof,Red Wine,353758,GTIN,1404324177483,Content‍,"
0,75 l",Regions‍,"
Alto Adige",Vintage‍,"
2019",Variety‍,"
Merlot",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Strada del Vino, 1/A, 39052 Caldaro BZ",https://weindiele.com/media/image/product/9242/sm/ritterhof-suedtiroler-merlot-doc-mollis.jpg
Sallegg Alto Adige Blauburgunder DOC Karal,"

29,70 €                                                
",1404324169426,"
5 - 10 Workdays

",Manufacturer,Castel Sallegg,Red Wine,353501,GTIN,1404324169426,Content‍,"
0,75 l",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Unterwinkel, 15, 39052 Kaltern, Südtirol",https://weindiele.com/media/image/product/9217/sm/sallegg-suedtiroler-blauburgunder-doc-karal.jpg
Untermoserhof Alto Adige St. Magdalener Classico DOC Hub,"

18,00 €                                                
",1404324006707,"
5 - 10 Workdays

",Manufacturer,Untermoser,Red Wine,350191,GTIN,1404324006707,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Santa Maddalena",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",https://weindiele.com/media/image/product/9090/sm/de-rotwein-untermoserhof-suedtiroler-st-magdalener-classico-doc-hub.jpg
Stroblhof Alto Adige Cabernet Franc / Merlot DOC Valbion,"

28,50 €                                                
",1404324174963,"
5 - 10 Workdays

",Manufacturer,Stroblhof,Red Wine,353672,GTIN,1404324174963,Content‍,"
0,75 l",Variety‍,"
Cuvée Red",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Extra‍,"
Vinum Hotels",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Via Piganò, 25, 39057 Appiano sulla strada del vino BZ",https://weindiele.com/media/image/product/9165/sm/de-rotwein-stroblhof-suedtiroler-cabernet-franc---merlot-doc-valbion.jpg
Lentsch Alto Adige Lagrein DOC Morus,"

65,90 €                                                
",140432324293,"
5 - 10 Workdays

",Manufacturer,H. Lentsch,Red Wine,324293,GTIN,140432324293,Content‍,"
1,5 l",Variety‍,"
Lagrein ",Regions‍,"
Alto Adige",Vintage‍,"
2017",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Reichsstraße, 71, 39051 Branzoll, Südtirol",https://weindiele.com/media/image/product/8966/sm/lentsch-suedtiroler-lagrein-doc-morus.jpg
Lentsch Vigneti delle Dolomiti Red IGT Brazol,"

17,90 €                                                
",1404324168498,"
5 - 10 Workdays

",Manufacturer,H. Lentsch,Red Wine,353433,GTIN,1404324168498,Content‍,"
0,75 l",Variety‍,"
Cuvée Red",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Reichsstraße, 71, 39051 Branzoll, Südtirol",https://weindiele.com/media/image/product/8999/sm/lentsch-weinberg-dolomiten-rot-igt-brazol.jpg
Quirinus Weingut Alto Adige Lagrein Riserva DOC BIO,"

27,90 €                                                
",8055776370446,"
5 - 10 Workdays

",Manufacturer,St. Quirinus,Red Wine,353561,GTIN,8055776370446,Content‍,"
0,75 l",Variety‍,"
Lagrein ",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Bio-Zertifizierung‍,,Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Pianizza di Sopra, 4b, 39052 Caldaro BZ",https://weindiele.com/media/image/product/9093/sm/de-rotwein-quirinus-weingut-suedtiroler-lagrein-riserva-doc.jpg
Quirinus Weingut Alto Adige Vernatsch DOC Bergwerk BIO,"

13,90 €                                                
",8055776370408,"
5 - 10 Workdays

",Manufacturer,St. Quirinus,Red Wine,353529,GTIN,8055776370408,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Schiava",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Bio-Zertifizierung‍,,Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Pianizza di Sopra, 4b, 39052 Caldaro BZ",https://weindiele.com/media/image/product/9063/sm/de-rotwein-quirinus-weingut-suedtiroler-grauvernatsch-doc-bergwerk-bio.jpg
